[INFO] [1784857904.323891879] [motor_controller_pid]: PID Motor Controller started — Kp=0.4, Ki=0.1, Kd=0.0, max_pwm=0.95, max_linear=0.3, cmd_vel_topic=cmd_vel
[WARN] [1784857904.799983667] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784857907.850388563] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784857911.699892621] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784857914.150099475] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784857915.849839739] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784857924.150025086] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784858206.699930109] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784858209.899881617] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784858215.149944577] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784858216.899904940] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784858256.599889911] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784858259.949837815] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784858432.350009495] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784858434.199779399] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784858437.949725007] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784858440.199950414] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784858440.749885182] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784858441.349830822] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784858442.799856837] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784858448.400012425] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784858575.199901882] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784858576.049811608] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784858579.899921815] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784858581.849806131] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784858583.549865455] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784858584.999933563] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784858586.050136838] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784858587.299818749] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784858588.249782573] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784858591.099880657] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784858607.449901713] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784858613.249769291] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784858614.599901450] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784858635.399922760] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784858642.799924843] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784858652.599877524] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784858653.499838994] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784858655.449825903] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784858656.349807984] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784858657.349840607] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784858695.399928740] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784858698.999922656] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784858738.399886909] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784858801.999930194] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784858819.749803688] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784858823.199889356] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784858831.599905210] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784858842.049821052] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784858860.149927268] [motor_controller_pid]: Encoder feedback timeout; stopping motors
[WARN] [1784858860.699917258] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784858866.549824783] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784858884.199866884] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784858884.952892843] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784858886.799821974] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784858887.450573324] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784858894.699938193] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784858901.049860557] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784858905.449851012] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784858913.549758944] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784858926.149659076] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784858929.749813437] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784858932.449770828] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784858944.349894779] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784858961.599674340] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784858977.999967178] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784858979.099822175] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784858979.849757712] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784858981.749893972] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784858988.599710564] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784858994.349795344] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784859005.599886467] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784859007.099875892] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784859008.049671085] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784859016.799925402] [motor_controller_pid]: Command timeout; stopping motors
