[INFO] [1783640754.794590782] [motor_controller_pid]: PID Motor Controller started — Kp=0.4, Ki=0.1, Kd=0.0, max_pwm=0.45, max_linear=0.3, cmd_vel_topic=cmd_vel
[WARN] [1783640755.271484890] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783640768.671471794] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783640771.221526281] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783640773.571475055] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783640789.471441726] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783640799.921461743] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783640812.771477317] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783640818.921472746] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783640826.671495319] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783640828.621470667] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783640830.571267254] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783640833.071472836] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783640836.771471372] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783640838.721537590] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783640843.821549036] [motor_controller_pid]: Command timeout; stopping motors
