[INFO] [1785287647.106053461] [motor_controller_pid]: PID Motor Controller started — Kp=0.4, Ki=0.1, Kd=0.0, max_pwm=0.95, max_linear=0.3, cmd_vel_topic=cmd_vel
[WARN] [1785287647.581717334] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1785288100.582006590] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1785288273.182504887] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1785288450.482490209] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1785288739.781931793] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1785289421.184473767] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1785290412.383610510] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1785291565.283176579] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1785291622.782917906] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1785291865.182164249] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1785292094.531931032] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1785292147.483136222] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1785292186.281927995] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1785292262.483312413] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1785292378.882280392] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1785292519.582506387] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1785292858.082807430] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1785292951.082398875] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1785293055.281997193] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1785293360.182811792] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1785293480.731978073] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1785294323.931910501] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1785294371.082015814] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1785294458.532300700] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1785294499.641595500] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1785294617.882100659] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1785294618.431967686] [motor_controller_pid]: Command timeout; stopping motors
