[INFO] [1783390553.375422596] [motor_controller_pid]: PID Motor Controller started — Kp=0.4, Ki=0.1, Kd=0.0, max_pwm=0.45, max_linear=0.3, cmd_vel_topic=cmd_vel
[WARN] [1783390553.852266826] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783390665.653731053] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783390731.852152501] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783390749.852460485] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783390813.852175875] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783390831.852157210] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783390849.852109784] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783390873.852058285] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783390891.852129935] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783390909.852764439] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783390947.352177683] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783390951.653089489] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783390961.352092442] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783390969.252162207] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783390981.752133740] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783390991.552100638] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783391030.752061936] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783391057.852177017] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783391086.152195264] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783391096.452166139] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783391128.452186178] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783391136.352158257] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783391150.152198638] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783391167.252109346] [motor_controller_pid]: Command timeout; stopping motors
