[INFO] [1775698798.662702297] [CLaserOdometry2DNode]: Initializing RF2O node...
[WARN] [1775698798.674210939] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698798.774242558] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698798.874216159] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698798.974242372] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698799.074250679] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698799.174217266] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698799.274194260] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698799.374178495] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698799.474163286] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698799.574145669] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698799.674185570] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698799.774162842] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698799.874158781] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698799.974182775] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698800.074158494] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698800.174156677] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698800.274148861] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698800.374260673] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698800.474211764] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698800.574195374] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698800.674176039] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698800.774161611] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698800.874244646] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698800.974216348] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698801.074218516] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698801.174211870] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698801.274211576] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698801.374202689] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698801.474242155] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698801.574224546] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698801.674212400] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698801.774239495] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698801.874229756] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698801.974214055] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698802.074205671] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698802.174217159] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698802.274206665] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698802.374208561] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698802.474209271] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698802.574206814] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698802.674213080] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698802.774209160] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698802.874203074] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698802.974208266] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698803.074216275] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698803.174212230] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698803.274213611] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698803.374218343] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698803.474220835] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698803.574231827] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698803.674233578] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698803.774170793] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698803.874213155] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698803.974212721] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698804.074230345] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698804.174211026] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698804.274214745] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698804.374203500] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698804.474201255] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698804.574201085] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698804.674202562] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698804.774204225] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698804.874201221] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698804.974204532] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698805.074205808] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698805.174229289] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698805.274214160] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698805.374213938] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698805.474207604] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698805.574201993] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698805.674204771] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698805.774202142] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698805.874217568] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698805.974209994] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698806.074210423] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698806.174232241] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698806.274217634] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698806.374211305] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698806.474220624] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698806.574231073] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698806.674233688] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698806.774235655] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698806.874214326] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698806.974207459] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698807.074220355] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698807.174216123] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698807.274202557] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698807.374200306] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698807.474233499] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698807.574230970] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698807.674208534] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698807.774202931] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698807.874207661] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698807.974210281] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698808.074206014] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698808.174248952] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698808.274217834] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698808.374208976] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698808.474207600] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698808.574210075] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698808.674226272] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698808.774209914] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698808.874203722] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698808.974211031] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698809.074204934] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698809.174200488] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698809.274199967] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698809.374210687] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698809.474216833] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698809.574225330] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698809.674259383] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698809.774220900] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698809.874205916] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698809.974200617] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698810.074215951] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698810.174218860] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698810.274208195] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698810.374208067] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698810.474212643] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698810.574203589] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698810.674199258] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698810.774202630] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698810.874205632] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698810.974206596] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698811.074210008] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698811.174222458] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698811.274211909] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698811.374206081] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698811.474201272] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698811.574204055] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698811.674202246] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698811.774206882] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698811.874204850] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698811.974208652] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698812.074204235] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698812.174197707] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698812.274205143] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698812.374201505] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698812.474217903] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698812.574231543] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698812.674222071] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698812.774209729] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698812.874199942] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698812.974207526] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698813.074217409] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698813.174210682] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698813.274207566] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698813.374195950] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698813.474212427] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698813.574207607] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698813.674213584] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698813.774203597] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698813.874211370] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698813.974210754] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698814.074212845] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698814.174209825] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698814.274207214] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698814.374208120] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698814.474208379] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698814.574209359] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698814.674212766] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698814.774195747] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698814.874198820] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698814.974199986] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698815.074209617] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698815.174206250] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698815.274201809] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698815.374211738] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698815.474215445] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698815.574225688] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698815.674224840] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698815.774204213] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698815.874201142] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698815.974195146] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698816.074218929] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698816.174204214] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698816.274206999] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698816.374205210] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698816.474200643] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698816.574214761] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698816.674204009] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698816.774228979] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698816.874201394] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698816.974199901] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698817.074196244] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698817.174214144] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698817.274205248] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698817.374203425] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698817.474205825] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698817.574196781] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698817.674205699] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698817.774201599] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775698817.874203814] [CLaserOdometry2DNode]: Waiting for laser_scans....
