[WARN] [1775886335.982970044] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886336.483850854] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886336.984867388] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886337.485783328] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886337.986955568] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886338.488109918] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886338.989277231] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886339.490842642] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886339.991667192] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886340.492474706] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886340.993296756] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886341.494404735] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886341.995456325] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886342.496289802] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886342.997123278] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886343.498015922] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886343.999009734] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886344.500288048] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886345.001454121] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886345.502602082] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886346.003596672] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886346.504762522] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886347.005930447] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886347.507081890] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886348.008267203] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886348.509439906] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886349.010568404] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886349.511726828] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886350.012885179] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886350.514052066] [uart_bridge]: Waiting for pose data from /pose topic...
