[WARN] [1782869232.632733995] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869232.732733196] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869232.832732637] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869232.932735856] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869233.032730204] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869233.132735608] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869233.232732957] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869233.332733287] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869233.432748820] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869233.532731743] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869233.632749203] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869233.732737421] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869233.832735122] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869233.932736655] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869234.032728671] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869234.132738297] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869234.232745905] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869234.332731623] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869234.432745898] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869234.532737154] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869234.632741743] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869234.732737166] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869234.832730607] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869234.932735122] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869235.032735155] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869235.132729633] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869235.232731204] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869235.332673423] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869235.432734160] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869235.532725287] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869235.632734228] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869235.732738002] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869235.832736351] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869235.932743144] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869236.032721103] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869236.132734544] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869236.232729356] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869236.332728723] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869236.432750534] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869236.532733475] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869236.632724564] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869236.732730617] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869236.832743021] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869236.932737091] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869237.032745588] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869237.132730899] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869237.232738359] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869237.332730245] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869237.432761223] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869237.532743738] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869237.632733216] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869237.732731787] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869237.832729450] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869237.932730817] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869238.032710943] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869238.132754144] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869238.232731733] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869238.332735359] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869238.432728467] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869238.532730482] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869238.632731293] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869238.732734549] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869238.832738268] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869238.932730413] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869239.032731206] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869239.132736999] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869239.232733606] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869239.332730103] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869239.432749229] [rf2o_laser_odometry_node]: Waiting for laser_scans....
