[INFO] [1784022173.942275120] [motor_controller_pid]: PID Motor Controller started — Kp=0.4, Ki=0.1, Kd=0.0, max_pwm=0.45, max_linear=0.3, cmd_vel_topic=cmd_vel
[WARN] [1784022174.419508230] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784022176.519332358] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784022181.319316816] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784022186.969397587] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784022195.569353891] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784022196.419310833] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784022198.419371040] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784022199.519299537] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784022201.919349100] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784022235.019413975] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784022238.219271953] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784022241.919318284] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784022253.769291204] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784022255.819311788] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784022275.669335719] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784022277.069321151] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784022277.619406326] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784022286.369334189] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784022289.669272849] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784022291.919308778] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784022293.169320114] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784022303.669321720] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784022304.769294403] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784022308.469325234] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784022309.619349462] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784022314.719300484] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784022315.869305248] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784022321.119287829] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784022328.469261039] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784022353.919307048] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784022357.269409661] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784022361.769281203] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784022362.619308516] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784022363.569320936] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784022364.119313684] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784022369.819262444] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784022370.669298441] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784022371.869306139] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784022380.419315307] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784022382.419357884] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784022394.719333963] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784022396.219283243] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784022409.469364484] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784022410.119302340] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784022413.369297085] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784022414.019321108] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784022420.969352499] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784022421.819312886] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784022422.669351328] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784022423.519331418] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784022425.219331283] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784022425.969327580] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784022426.619324214] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784022427.519310979] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784022428.169311724] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784022429.869282126] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784022430.569318675] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784022431.219368939] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784022433.969318739] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784022435.069355737] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784022435.619313912] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784022438.219332597] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784022438.919305072] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784022439.719393951] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784022440.719319230] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784022441.669390298] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784022443.619336701] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784022444.719333680] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784022445.769366374] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784022446.619267445] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784022447.469312221] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784022448.469313500] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784022449.119304430] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784022450.769304714] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784022451.819314945] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784022452.819362428] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1784022456.569366470] [motor_controller_pid]: Command timeout; stopping motors
