[INFO] [1782871208.211763389] [joint_state_publisher]: Waiting for robot_description to be published on the robot_description topic...
[INFO] [1782871208.404234438] [joint_state_publisher]: Got description, configuring robot
[INFO] [1782871328.439266066] [joint_state_publisher]: Got description, configuring robot
[INFO] [1782875970.302528947] [joint_state_publisher]: Got description, configuring robot
[INFO] [1782876086.967072659] [joint_state_publisher]: Got description, configuring robot
[INFO] [1782876630.999569241] [joint_state_publisher]: Got description, configuring robot
[INFO] [1782876746.963847431] [joint_state_publisher]: Got description, configuring robot
[INFO] [1782877785.146546359] [joint_state_publisher]: Got description, configuring robot
[INFO] [1782877887.080973447] [joint_state_publisher]: Got description, configuring robot
[INFO] [1782878038.150205028] [joint_state_publisher]: Got description, configuring robot
[INFO] [1782878310.415514873] [joint_state_publisher]: Got description, configuring robot
