[INFO] [1786140954.638395429] [motor_controller_pid]: PID Motor Controller started — Kp=0.4, Ki=0.1, Kd=0.0, max_pwm=0.95, max_linear=0.3, cmd_vel_topic=cmd_vel
[WARN] [1786140955.115401397] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1786141213.165455762] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1786141237.765467216] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1786141325.515274937] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1786141331.415488992] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1786141518.865458997] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1786141526.365386133] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1786141531.865509442] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1786141565.165401182] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1786141621.665422643] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1786141635.815372578] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1786141655.315330275] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1786141666.965470368] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1786141770.715685480] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1786141830.565493204] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1786141952.265473877] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1786141962.715344703] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1786142073.315327460] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1786142079.465486309] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1786142082.665399588] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1786142173.415359434] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1786142180.865677525] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1786142191.215512711] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1786142217.715370943] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1786142260.715347643] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1786142268.615347230] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1786142276.065400852] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1786142296.265571119] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1786142336.765416804] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1786142451.165418465] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1786142499.015352549] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1786142529.915298874] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1786144242.215338981] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1786144351.515331165] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1786144408.765396193] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1786144676.165411897] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1786383444.465468336] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1786383872.015248456] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1786384214.115190984] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1786384282.515318914] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1786384315.715353313] [motor_controller_pid]: Command timeout; stopping motors
