[INFO] [1775780542.866370849] [motor_controller]: Motor Controller Node started
[INFO] [1775780563.625102498] [motor_controller]: cmd_vel -> linear=1.00, angular=0.00, left=0.20, right=0.20
[INFO] [1775780563.918072551] [motor_controller]: cmd_vel -> linear=1.00, angular=0.00, left=0.20, right=0.20
[INFO] [1775780564.379137619] [motor_controller]: cmd_vel -> linear=1.00, angular=0.00, left=0.20, right=0.20
[INFO] [1775780564.552448864] [motor_controller]: cmd_vel -> linear=1.00, angular=0.00, left=0.20, right=0.20
[INFO] [1775780564.723971045] [motor_controller]: cmd_vel -> linear=1.00, angular=0.00, left=0.20, right=0.20
[INFO] [1775780564.914544136] [motor_controller]: cmd_vel -> linear=-1.00, angular=0.00, left=-0.20, right=-0.20
[INFO] [1775780565.260659142] [motor_controller]: cmd_vel -> linear=-1.00, angular=0.00, left=-0.20, right=-0.20
[INFO] [1775780565.525941444] [motor_controller]: cmd_vel -> linear=-1.00, angular=0.00, left=-0.20, right=-0.20
[INFO] [1775780565.527341692] [motor_controller]: cmd_vel -> linear=0.00, angular=1.00, left=-0.20, right=0.20
[INFO] [1775780565.793683074] [motor_controller]: cmd_vel -> linear=0.00, angular=1.00, left=-0.20, right=0.20
[INFO] [1775780565.934035726] [motor_controller]: cmd_vel -> linear=0.00, angular=-1.00, left=0.20, right=-0.20
[INFO] [1775780566.208169481] [motor_controller]: cmd_vel -> linear=1.00, angular=0.00, left=0.20, right=0.20
[INFO] [1775780566.347069793] [motor_controller]: cmd_vel -> linear=0.00, angular=1.00, left=-0.20, right=0.20
[INFO] [1775780566.348458800] [motor_controller]: cmd_vel -> linear=0.00, angular=-1.00, left=0.20, right=-0.20
[INFO] [1775780566.439164369] [motor_controller]: cmd_vel -> linear=1.00, angular=0.00, left=0.20, right=0.20
[INFO] [1775780566.591034857] [motor_controller]: cmd_vel -> linear=0.00, angular=1.00, left=-0.20, right=0.20
[INFO] [1775780566.592330308] [motor_controller]: cmd_vel -> linear=0.00, angular=-1.00, left=0.20, right=-0.20
[INFO] [1775780566.697626136] [motor_controller]: cmd_vel -> linear=1.00, angular=0.00, left=0.20, right=0.20
[INFO] [1775780566.843252686] [motor_controller]: cmd_vel -> linear=0.00, angular=-1.00, left=0.20, right=-0.20
[INFO] [1775780566.844687360] [motor_controller]: cmd_vel -> linear=1.00, angular=0.00, left=0.20, right=0.20
[INFO] [1775780567.012271873] [motor_controller]: cmd_vel -> linear=0.00, angular=1.00, left=-0.20, right=0.20
[INFO] [1775780567.182358861] [motor_controller]: cmd_vel -> linear=0.00, angular=-1.00, left=0.20, right=-0.20
[INFO] [1775780567.183919220] [motor_controller]: cmd_vel -> linear=-1.00, angular=0.00, left=-0.20, right=-0.20
[INFO] [1775780567.350604525] [motor_controller]: cmd_vel -> linear=0.00, angular=1.00, left=-0.20, right=0.20
[INFO] [1775780567.352152218] [motor_controller]: cmd_vel -> linear=0.00, angular=-1.00, left=0.20, right=-0.20
[INFO] [1775780567.353495891] [motor_controller]: cmd_vel -> linear=1.00, angular=0.00, left=0.20, right=0.20
[INFO] [1775780567.537651043] [motor_controller]: cmd_vel -> linear=0.00, angular=1.00, left=-0.20, right=0.20
[INFO] [1775780567.687270724] [motor_controller]: cmd_vel -> linear=0.00, angular=-1.00, left=0.20, right=-0.20
[INFO] [1775780567.688594545] [motor_controller]: cmd_vel -> linear=1.00, angular=0.00, left=0.20, right=0.20
[INFO] [1775780567.860781896] [motor_controller]: cmd_vel -> linear=0.00, angular=1.00, left=-0.20, right=0.20
[INFO] [1775780567.862211107] [motor_controller]: cmd_vel -> linear=0.00, angular=-1.00, left=0.20, right=-0.20
[INFO] [1775780567.863608244] [motor_controller]: cmd_vel -> linear=-1.00, angular=0.00, left=-0.20, right=-0.20
[INFO] [1775780568.043070890] [motor_controller]: cmd_vel -> linear=0.00, angular=1.00, left=-0.20, right=0.20
[INFO] [1775780568.044500897] [motor_controller]: cmd_vel -> linear=0.00, angular=-1.00, left=0.20, right=-0.20
[INFO] [1775780568.194625322] [motor_controller]: cmd_vel -> linear=-1.00, angular=0.00, left=-0.20, right=-0.20
[INFO] [1775780568.196001366] [motor_controller]: cmd_vel -> linear=0.00, angular=1.00, left=-0.20, right=0.20
[INFO] [1775780568.253628749] [motor_controller]: cmd_vel -> linear=0.00, angular=-1.00, left=0.20, right=-0.20
[INFO] [1775780568.254997053] [motor_controller]: cmd_vel -> linear=1.00, angular=0.00, left=0.20, right=0.20
[INFO] [1775780572.881171866] [motor_controller]: cmd_vel -> linear=0.00, angular=0.00, left=0.00, right=0.00
[INFO] [1775780572.883795879] [motor_controller]: cmd_vel -> linear=0.00, angular=0.00, left=0.00, right=0.00
