[INFO] [1775712851.442115436] [motor_controller]: Motor Controller Node started
[INFO] [1775712852.511719971] [motor_controller]: cmd_vel -> linear=0.00, angular=0.00, left=0.00, right=0.00
[INFO] [1775712852.571513895] [motor_controller]: cmd_vel -> linear=0.00, angular=0.00, left=0.00, right=0.00
[INFO] [1775712852.667575964] [motor_controller]: cmd_vel -> linear=0.00, angular=0.00, left=0.00, right=0.00
[INFO] [1775712885.865357800] [motor_controller]: cmd_vel -> linear=0.02, angular=0.04, left=0.00, right=0.00
[INFO] [1775712886.060882957] [motor_controller]: cmd_vel -> linear=0.03, angular=0.07, left=0.00, right=0.00
[INFO] [1775712886.168189088] [motor_controller]: cmd_vel -> linear=0.06, angular=0.12, left=0.00, right=0.05
[INFO] [1775712886.366575021] [motor_controller]: cmd_vel -> linear=0.06, angular=0.13, left=0.00, right=0.06
[INFO] [1775712886.469207700] [motor_controller]: cmd_vel -> linear=0.06, angular=0.13, left=0.00, right=0.06
[INFO] [1775712886.668279395] [motor_controller]: cmd_vel -> linear=0.07, angular=0.13, left=0.00, right=0.06
[INFO] [1775712886.863733052] [motor_controller]: cmd_vel -> linear=0.07, angular=0.13, left=0.00, right=0.06
[INFO] [1775712886.965368485] [motor_controller]: cmd_vel -> linear=0.07, angular=0.13, left=0.00, right=0.06
[INFO] [1775712887.164836664] [motor_controller]: cmd_vel -> linear=0.07, angular=0.13, left=0.00, right=0.06
[INFO] [1775712887.271600885] [motor_controller]: cmd_vel -> linear=0.07, angular=0.13, left=0.00, right=0.06
[INFO] [1775712887.466260814] [motor_controller]: cmd_vel -> linear=0.07, angular=0.13, left=0.00, right=0.06
[INFO] [1775712887.568301028] [motor_controller]: cmd_vel -> linear=0.07, angular=0.13, left=0.00, right=0.06
[INFO] [1775712887.761028706] [motor_controller]: cmd_vel -> linear=0.07, angular=0.13, left=0.00, right=0.06
[INFO] [1775712887.871328299] [motor_controller]: cmd_vel -> linear=0.07, angular=0.14, left=0.00, right=0.06
[INFO] [1775712888.075937432] [motor_controller]: cmd_vel -> linear=0.07, angular=0.13, left=0.00, right=0.06
[INFO] [1775712888.171266497] [motor_controller]: cmd_vel -> linear=0.06, angular=0.13, left=0.00, right=0.06
[INFO] [1775712888.370976455] [motor_controller]: cmd_vel -> linear=0.06, angular=0.13, left=0.00, right=0.06
[INFO] [1775712888.471231769] [motor_controller]: cmd_vel -> linear=0.06, angular=0.13, left=0.00, right=0.06
[INFO] [1775712888.662248623] [motor_controller]: cmd_vel -> linear=0.07, angular=0.13, left=0.00, right=0.06
[INFO] [1775712888.876445661] [motor_controller]: cmd_vel -> linear=0.07, angular=0.13, left=0.00, right=0.06
[INFO] [1775712888.967818797] [motor_controller]: cmd_vel -> linear=0.07, angular=0.13, left=0.00, right=0.06
[INFO] [1775712889.173660289] [motor_controller]: cmd_vel -> linear=0.07, angular=0.13, left=0.00, right=0.06
[INFO] [1775712889.268270517] [motor_controller]: cmd_vel -> linear=0.07, angular=0.13, left=0.00, right=0.06
[INFO] [1775712889.465326960] [motor_controller]: cmd_vel -> linear=0.07, angular=0.13, left=0.00, right=0.06
[INFO] [1775712889.565005586] [motor_controller]: cmd_vel -> linear=0.07, angular=0.13, left=0.00, right=0.06
[INFO] [1775712889.777827339] [motor_controller]: cmd_vel -> linear=0.07, angular=0.14, left=0.00, right=0.06
[INFO] [1775712889.861669303] [motor_controller]: cmd_vel -> linear=0.07, angular=0.13, left=0.00, right=0.06
[INFO] [1775712890.062884010] [motor_controller]: cmd_vel -> linear=0.07, angular=0.13, left=0.00, right=0.06
[INFO] [1775712890.166165508] [motor_controller]: cmd_vel -> linear=0.06, angular=0.13, left=0.00, right=0.06
[INFO] [1775712890.367653420] [motor_controller]: cmd_vel -> linear=0.07, angular=0.13, left=0.00, right=0.06
[INFO] [1775712890.568897053] [motor_controller]: cmd_vel -> linear=0.07, angular=0.13, left=0.00, right=0.06
[INFO] [1775712890.659974724] [motor_controller]: cmd_vel -> linear=0.06, angular=0.13, left=0.00, right=0.06
[INFO] [1775712890.867095019] [motor_controller]: cmd_vel -> linear=0.06, angular=0.13, left=0.00, right=0.06
[INFO] [1775712890.966689052] [motor_controller]: cmd_vel -> linear=0.06, angular=0.13, left=0.00, right=0.06
[INFO] [1775712891.165721932] [motor_controller]: cmd_vel -> linear=0.07, angular=0.13, left=0.00, right=0.06
[INFO] [1775712891.267457644] [motor_controller]: cmd_vel -> linear=0.07, angular=0.13, left=0.00, right=0.06
[INFO] [1775712891.470657140] [motor_controller]: cmd_vel -> linear=0.06, angular=0.13, left=0.00, right=0.06
[INFO] [1775712891.567511509] [motor_controller]: cmd_vel -> linear=0.06, angular=0.14, left=0.00, right=0.06
[INFO] [1775712891.762305218] [motor_controller]: cmd_vel -> linear=0.07, angular=0.14, left=0.00, right=0.06
[INFO] [1775712891.861074839] [motor_controller]: cmd_vel -> linear=0.07, angular=0.13, left=0.00, right=0.06
[INFO] [1775712892.061002335] [motor_controller]: cmd_vel -> linear=0.07, angular=0.12, left=0.00, right=0.06
[INFO] [1775712892.165295820] [motor_controller]: cmd_vel -> linear=0.07, angular=0.13, left=0.00, right=0.06
[INFO] [1775712892.361027089] [motor_controller]: cmd_vel -> linear=0.08, angular=0.13, left=0.00, right=0.06
[INFO] [1775712892.562694558] [motor_controller]: cmd_vel -> linear=0.07, angular=0.13, left=0.00, right=0.06
[INFO] [1775712892.667334674] [motor_controller]: cmd_vel -> linear=0.07, angular=0.14, left=0.00, right=0.06
[INFO] [1775712892.866217535] [motor_controller]: cmd_vel -> linear=0.07, angular=0.14, left=0.00, right=0.06
[INFO] [1775712892.972990219] [motor_controller]: cmd_vel -> linear=0.06, angular=0.13, left=0.00, right=0.06
[INFO] [1775712893.161253688] [motor_controller]: cmd_vel -> linear=0.06, angular=0.14, left=0.00, right=0.06
[INFO] [1775712893.266119398] [motor_controller]: cmd_vel -> linear=0.07, angular=0.13, left=0.00, right=0.06
[INFO] [1775712893.467718737] [motor_controller]: cmd_vel -> linear=0.07, angular=0.14, left=0.00, right=0.06
[INFO] [1775712893.565652279] [motor_controller]: cmd_vel -> linear=0.07, angular=0.12, left=0.00, right=0.06
[INFO] [1775712893.766849467] [motor_controller]: cmd_vel -> linear=0.07, angular=0.13, left=0.00, right=0.06
