[INFO] [1783996163.673928577] [motor_controller_pid]: PID Motor Controller started — Kp=0.4, Ki=0.1, Kd=0.0, max_pwm=0.45, max_linear=0.3, cmd_vel_topic=cmd_vel
[WARN] [1783996164.070265896] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783996244.216635370] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783996246.265866146] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783996377.716000082] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783996384.365953506] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783996400.965847348] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783996406.627757844] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783996482.918615943] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783996487.616365053] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783996488.215871181] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783996489.216222723] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783996491.915820097] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783996496.766009675] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783996498.416549543] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783996503.416275980] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783996508.866565485] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783996524.016451790] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783996527.616613874] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783996528.665861326] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783996531.567849474] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783996532.916671424] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783996534.365880784] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783996535.065953712] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783996545.566042294] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783996546.416423622] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783996547.465992372] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783996548.516743463] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783996591.165855515] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783996666.171517156] [motor_controller_pid]: Command timeout; stopping motors
