[INFO] [1775929130.544470928] [uart_bridge]: UART bridge node started
[INFO] [1775929130.545991343] [uart_bridge]: Opened UART on /dev/ttyAMA0 @ 115200
[INFO] [1775929234.916626907] [uart_bridge]: Distance to room1: 5.54m (threshold: 1.2m)
[INFO] [1775929235.417666805] [uart_bridge]: Distance to room1: 5.54m (threshold: 1.2m)
[INFO] [1775929235.918695463] [uart_bridge]: Distance to room1: 5.39m (threshold: 1.2m)
[INFO] [1775929236.419720695] [uart_bridge]: Distance to room1: 5.39m (threshold: 1.2m)
[INFO] [1775929236.920756001] [uart_bridge]: Distance to room1: 5.39m (threshold: 1.2m)
[INFO] [1775929237.421737918] [uart_bridge]: Distance to room1: 5.39m (threshold: 1.2m)
[INFO] [1775929237.922753260] [uart_bridge]: Distance to room1: 5.39m (threshold: 1.2m)
[INFO] [1775929238.423780400] [uart_bridge]: Distance to room1: 5.39m (threshold: 1.2m)
[INFO] [1775929238.924854224] [uart_bridge]: Distance to room1: 5.39m (threshold: 1.2m)
[INFO] [1775929239.425944345] [uart_bridge]: Distance to room1: 5.39m (threshold: 1.2m)
[INFO] [1775929239.927043707] [uart_bridge]: Distance to room1: 5.39m (threshold: 1.2m)
[INFO] [1775929240.428139809] [uart_bridge]: Distance to room1: 5.39m (threshold: 1.2m)
[INFO] [1775929240.929221893] [uart_bridge]: Distance to room1: 5.39m (threshold: 1.2m)
[INFO] [1775929241.430296588] [uart_bridge]: Distance to room1: 5.39m (threshold: 1.2m)
[INFO] [1775929241.931384691] [uart_bridge]: Distance to room1: 5.39m (threshold: 1.2m)
[INFO] [1775929242.432480478] [uart_bridge]: Distance to room1: 5.39m (threshold: 1.2m)
[INFO] [1775929242.933572914] [uart_bridge]: Distance to room1: 5.39m (threshold: 1.2m)
[INFO] [1775929243.434649924] [uart_bridge]: Distance to room1: 5.39m (threshold: 1.2m)
[INFO] [1775929243.935731897] [uart_bridge]: Distance to room1: 5.39m (threshold: 1.2m)
[INFO] [1775929244.436791703] [uart_bridge]: Distance to room1: 5.39m (threshold: 1.2m)
[INFO] [1775929244.937887509] [uart_bridge]: Distance to room1: 5.39m (threshold: 1.2m)
[INFO] [1775929245.439008741] [uart_bridge]: Distance to room1: 5.39m (threshold: 1.2m)
[INFO] [1775929245.940121029] [uart_bridge]: Distance to room1: 5.39m (threshold: 1.2m)
[INFO] [1775929246.441224965] [uart_bridge]: Distance to room1: 5.39m (threshold: 1.2m)
[INFO] [1775929246.942294975] [uart_bridge]: Distance to room1: 5.39m (threshold: 1.2m)
[INFO] [1775929247.443392040] [uart_bridge]: Distance to room1: 5.39m (threshold: 1.2m)
[INFO] [1775929247.944438772] [uart_bridge]: Distance to room1: 5.39m (threshold: 1.2m)
[INFO] [1775929248.445540208] [uart_bridge]: Distance to room1: 5.39m (threshold: 1.2m)
[INFO] [1775929248.947445259] [uart_bridge]: Distance to room1: 5.39m (threshold: 1.2m)
[INFO] [1775929249.448490528] [uart_bridge]: Distance to room1: 5.39m (threshold: 1.2m)
[INFO] [1775929249.949567334] [uart_bridge]: Distance to room1: 5.39m (threshold: 1.2m)
[INFO] [1775929250.450707103] [uart_bridge]: Distance to room1: 5.39m (threshold: 1.2m)
[INFO] [1775929250.951744687] [uart_bridge]: Distance to room1: 5.39m (threshold: 1.2m)
[INFO] [1775929251.452764567] [uart_bridge]: Distance to room1: 5.39m (threshold: 1.2m)
[INFO] [1775929251.953773039] [uart_bridge]: Distance to room1: 5.39m (threshold: 1.2m)
[INFO] [1775929252.454773548] [uart_bridge]: Distance to room1: 5.39m (threshold: 1.2m)
[INFO] [1775929252.955844688] [uart_bridge]: Distance to room1: 5.39m (threshold: 1.2m)
[INFO] [1775929253.456848494] [uart_bridge]: Distance to room1: 5.39m (threshold: 1.2m)
[INFO] [1775929253.957865244] [uart_bridge]: Distance to room1: 5.39m (threshold: 1.2m)
[INFO] [1775929254.458882698] [uart_bridge]: Distance to room1: 5.39m (threshold: 1.2m)
[INFO] [1775929254.959903096] [uart_bridge]: Distance to room1: 5.39m (threshold: 1.2m)
[INFO] [1775929255.460915328] [uart_bridge]: Distance to room1: 5.39m (threshold: 1.2m)
[INFO] [1775929255.961888726] [uart_bridge]: Distance to room1: 5.39m (threshold: 1.2m)
[INFO] [1775929256.462893569] [uart_bridge]: Distance to room1: 5.39m (threshold: 1.2m)
[INFO] [1775929256.963894449] [uart_bridge]: Distance to room1: 5.39m (threshold: 1.2m)
[INFO] [1775929257.464888125] [uart_bridge]: Distance to room1: 5.71m (threshold: 1.2m)
[INFO] [1775929257.965897375] [uart_bridge]: Distance to room1: 6.11m (threshold: 1.2m)
[INFO] [1775929258.466923884] [uart_bridge]: Distance to room1: 6.54m (threshold: 1.2m)
[INFO] [1775929258.967971339] [uart_bridge]: Distance to room1: 6.54m (threshold: 1.2m)
[INFO] [1775929259.469009533] [uart_bridge]: Distance to room1: 6.54m (threshold: 1.2m)
[INFO] [1775929259.970075247] [uart_bridge]: Distance to room1: 6.54m (threshold: 1.2m)
[INFO] [1775929260.471119516] [uart_bridge]: Distance to room1: 6.54m (threshold: 1.2m)
[INFO] [1775929260.972160062] [uart_bridge]: Distance to room1: 6.54m (threshold: 1.2m)
[INFO] [1775929261.473215109] [uart_bridge]: Distance to room1: 6.54m (threshold: 1.2m)
[INFO] [1775929261.974247426] [uart_bridge]: Distance to room1: 6.54m (threshold: 1.2m)
[INFO] [1775929262.475294143] [uart_bridge]: Distance to room1: 6.54m (threshold: 1.2m)
[INFO] [1775929262.976221044] [uart_bridge]: Distance to room1: 6.01m (threshold: 1.2m)
[INFO] [1775929263.477233649] [uart_bridge]: Distance to room1: 6.01m (threshold: 1.2m)
[INFO] [1775929263.978292125] [uart_bridge]: Distance to room1: 6.92m (threshold: 1.2m)
