[INFO] [1786109250.817192043] [motor_controller_pid]: PID Motor Controller started — Kp=0.4, Ki=0.1, Kd=0.0, max_pwm=0.95, max_linear=0.3, cmd_vel_topic=cmd_vel
[WARN] [1786109251.287393569] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1786109447.537590518] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1786109455.586860010] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1786109462.886951712] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1786109469.037741816] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1786109486.686926603] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1786109498.486867481] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1786109504.686931697] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1786109529.239078988] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1786109539.786957295] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1786109551.937117160] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1786109556.937594659] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1786109566.186704611] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1786109575.337347893] [motor_controller_pid]: Command timeout; stopping motors
