[INFO] [1775702275.981261104] [CLaserOdometry2DNode]: Initializing RF2O node...
[WARN] [1775702276.004331362] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775702276.104323772] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775702276.204306220] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775702276.304317649] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775702276.404312059] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775702276.504321544] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775702276.604281029] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775702276.704269421] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775702276.804311813] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775702276.905850597] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775702277.004295523] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775702277.104304982] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775702277.204289219] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775702277.304306234] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775702277.404294378] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775702277.504286041] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775702277.604280556] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775702277.704269478] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775702277.804286604] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775702277.904282489] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775702278.004271430] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775702278.104280123] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775702278.204351019] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775702278.304340175] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775702278.404355719] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775702278.504340042] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775702278.604323346] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775702278.704322965] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775702278.804329824] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775702278.904341239] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775702279.004337784] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775702279.104334062] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775702279.204344989] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775702279.304342044] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775702279.404331193] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775702279.504359860] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775702279.604343527] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775702279.704343213] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775702279.804353991] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775702279.904357639] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775702280.004354418] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775702280.104326578] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775702280.204346644] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775702280.304346934] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775702280.404346260] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775702280.504339642] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775702280.604347468] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775702280.704342276] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775702280.804346269] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775702280.904356095] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775702281.004350755] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775702281.104338796] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775702281.204353392] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775702281.304343711] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775702281.404342715] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775702281.504351089] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775702281.604332408] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775702281.704343967] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775702281.804341619] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775702281.904356808] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775702282.004348572] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775702282.104348790] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775702282.204360489] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775702282.304348615] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775702282.404354852] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775702282.504357830] [CLaserOdometry2DNode]: Waiting for laser_scans....
