[INFO] [1775785608.305179295] [motor_controller]: Motor Controller Node started
[INFO] [1775785636.353669205] [motor_controller]: cmd_vel -> linear=-1.38, angular=-0.35, left=-0.21, right=-0.35
[INFO] [1775785636.450017145] [motor_controller]: cmd_vel -> linear=-1.35, angular=-0.37, left=-0.20, right=-0.34
[INFO] [1775785636.647500346] [motor_controller]: cmd_vel -> linear=-1.29, angular=-0.38, left=-0.18, right=-0.33
[INFO] [1775785636.851521322] [motor_controller]: cmd_vel -> linear=-1.29, angular=-0.37, left=-0.18, right=-0.33
[INFO] [1775785636.956214620] [motor_controller]: cmd_vel -> linear=-1.30, angular=-0.40, left=-0.18, right=-0.34
[INFO] [1775785637.152387018] [motor_controller]: cmd_vel -> linear=-1.34, angular=-0.40, left=-0.19, right=-0.35
[INFO] [1775785637.246662355] [motor_controller]: cmd_vel -> linear=-1.24, angular=-0.40, left=-0.17, right=-0.33
[INFO] [1775785637.453973459] [motor_controller]: cmd_vel -> linear=-1.26, angular=-0.39, left=-0.17, right=-0.33
[INFO] [1775785637.548344167] [motor_controller]: cmd_vel -> linear=-1.20, angular=-0.43, left=-0.15, right=-0.32
[INFO] [1775785637.752236586] [motor_controller]: cmd_vel -> linear=-1.20, angular=-0.44, left=-0.15, right=-0.33
[INFO] [1775785637.855973342] [motor_controller]: cmd_vel -> linear=-1.11, angular=-0.45, left=-0.13, right=-0.31
[INFO] [1775785638.054979199] [motor_controller]: cmd_vel -> linear=-1.11, angular=-0.47, left=-0.13, right=-0.31
[INFO] [1775785638.147268915] [motor_controller]: cmd_vel -> linear=-1.09, angular=-0.46, left=-0.13, right=-0.31
[INFO] [1775785638.353341661] [motor_controller]: cmd_vel -> linear=-1.12, angular=-0.47, left=-0.13, right=-0.32
[INFO] [1775785638.461919145] [motor_controller]: cmd_vel -> linear=-1.09, angular=-0.51, left=-0.12, right=-0.32
[INFO] [1775785638.651805696] [motor_controller]: cmd_vel -> linear=-1.13, angular=-0.52, left=-0.12, right=-0.33
[INFO] [1775785638.757337758] [motor_controller]: cmd_vel -> linear=-1.18, angular=-0.47, left=-0.14, right=-0.33
[INFO] [1775785638.955061849] [motor_controller]: cmd_vel -> linear=-1.16, angular=-0.46, left=-0.14, right=-0.33
[INFO] [1775785639.058992828] [motor_controller]: cmd_vel -> linear=-0.91, angular=-0.38, left=-0.11, right=-0.26
[INFO] [1775785639.254734132] [motor_controller]: cmd_vel -> linear=-0.83, angular=-0.41, left=-0.08, right=-0.25
[INFO] [1775785639.348429836] [motor_controller]: cmd_vel -> linear=-0.55, angular=-0.44, left=0.00, right=-0.20
[INFO] [1775785639.555295382] [motor_controller]: cmd_vel -> linear=-0.54, angular=-0.48, left=0.00, right=-0.20
[INFO] [1775785639.651359821] [motor_controller]: cmd_vel -> linear=-0.30, angular=-0.54, left=0.00, right=-0.17
[INFO] [1775785639.857676623] [motor_controller]: cmd_vel -> linear=-0.47, angular=-0.54, left=0.00, right=-0.20
[INFO] [1775785639.950451674] [motor_controller]: cmd_vel -> linear=-0.42, angular=-0.53, left=0.00, right=-0.19
[INFO] [1775785640.155980936] [motor_controller]: cmd_vel -> linear=-0.40, angular=-0.54, left=0.00, right=-0.19
[INFO] [1775785640.250105679] [motor_controller]: cmd_vel -> linear=-0.48, angular=-0.53, left=0.00, right=-0.20
[INFO] [1775785640.459895925] [motor_controller]: cmd_vel -> linear=-0.59, angular=-0.58, left=0.00, right=-0.23
