[INFO] [1783986333.827038880] [motor_controller_pid]: PID Motor Controller started — Kp=0.4, Ki=0.1, Kd=0.0, max_pwm=0.45, max_linear=0.3, cmd_vel_topic=cmd_vel
[WARN] [1783986334.299943883] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783986339.300005995] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783986340.150174735] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783986342.700041323] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783986345.650100362] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783986347.800011148] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783986358.499988834] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783986359.500056720] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783986364.599986471] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783986367.099980424] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783986368.399991564] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783986370.950056672] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783986371.799956040] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783986373.750108436] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783986375.850044161] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783986376.700088882] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783986377.699953044] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783986381.850209899] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783986383.450077403] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783986385.250129541] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783986386.250079148] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783986392.999890113] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783986404.650107550] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783986408.099992513] [motor_controller_pid]: Command timeout; stopping motors
