[INFO] [1785625600.914253602] [motor_controller_pid]: PID Motor Controller started — Kp=0.4, Ki=0.1, Kd=0.0, max_pwm=0.95, max_linear=0.3, cmd_vel_topic=cmd_vel
[WARN] [1785625601.389510324] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1785625638.939498696] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1785625646.939434418] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1785625657.289514704] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1785625663.139477208] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1785625667.339449962] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1785625672.639435814] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1785625690.089487005] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1785625696.989540207] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1785625698.889538573] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1785625701.939458771] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1785643238.139451633] [motor_controller_pid]: Command timeout; stopping motors
