[INFO] [1775785857.859818957] [motor_controller]: Motor Controller Node started
[INFO] [1775785961.854438671] [motor_controller]: cmd_vel -> linear=-0.04, angular=-0.61, left=0.11, right=-0.13
[INFO] [1775785961.957952922] [motor_controller]: cmd_vel -> linear=0.27, angular=-0.62, left=0.18, right=-0.07
[INFO] [1775785962.154900684] [motor_controller]: cmd_vel -> linear=0.31, angular=-0.63, left=0.19, right=-0.07
[INFO] [1775785962.250358188] [motor_controller]: cmd_vel -> linear=0.31, angular=-0.67, left=0.20, right=-0.07
[INFO] [1775785962.458209786] [motor_controller]: cmd_vel -> linear=0.38, angular=-0.67, left=0.21, right=-0.06
[INFO] [1775785962.552214579] [motor_controller]: cmd_vel -> linear=0.49, angular=-0.61, left=0.22, right=0.00
[INFO] [1775785962.750373755] [motor_controller]: cmd_vel -> linear=0.55, angular=-0.58, left=0.23, right=0.00
[INFO] [1775785962.851422400] [motor_controller]: cmd_vel -> linear=0.60, angular=-0.62, left=0.24, right=0.00
[INFO] [1775785963.051314604] [motor_controller]: cmd_vel -> linear=0.79, angular=-0.62, left=0.28, right=0.00
[INFO] [1775785963.154800077] [motor_controller]: cmd_vel -> linear=0.86, angular=-0.63, left=0.30, right=0.00
[INFO] [1775785963.351515357] [motor_controller]: cmd_vel -> linear=0.43, angular=-0.64, left=0.21, right=0.00
[INFO] [1775785963.456732598] [motor_controller]: cmd_vel -> linear=0.50, angular=-0.59, left=0.22, right=0.00
[INFO] [1775785963.653712749] [motor_controller]: cmd_vel -> linear=0.44, angular=-0.60, left=0.21, right=0.00
[INFO] [1775785963.748641177] [motor_controller]: cmd_vel -> linear=0.88, angular=-0.65, left=0.31, right=0.00
[INFO] [1775785963.956394219] [motor_controller]: cmd_vel -> linear=1.23, angular=-0.65, left=0.38, right=0.12
[INFO] [1775785964.058018941] [motor_controller]: cmd_vel -> linear=-0.51, angular=-0.60, left=0.00, right=-0.22
[INFO] [1775785964.256881269] [motor_controller]: cmd_vel -> linear=-0.98, angular=-0.56, left=-0.08, right=-0.31
[INFO] [1775785964.349939297] [motor_controller]: cmd_vel -> linear=-1.31, angular=-0.51, left=-0.16, right=-0.36
[INFO] [1775785964.555869293] [motor_controller]: cmd_vel -> linear=-0.77, angular=-0.52, left=-0.05, right=-0.26
[INFO] [1775785964.650991721] [motor_controller]: cmd_vel -> linear=-0.47, angular=-0.51, left=0.00, right=-0.19
[INFO] [1775785964.857062643] [motor_controller]: cmd_vel -> linear=-0.31, angular=-0.49, left=0.00, right=-0.16
[INFO] [1775785965.055894915] [motor_controller]: cmd_vel -> linear=-0.29, angular=-0.45, left=0.00, right=-0.15
[INFO] [1775785965.148902684] [motor_controller]: cmd_vel -> linear=-0.27, angular=-0.48, left=0.00, right=-0.15
[INFO] [1775785965.252197582] [motor_controller]: cmd_vel -> linear=-0.18, angular=-0.44, left=0.05, right=-0.12
[INFO] [1775785965.450609093] [motor_controller]: cmd_vel -> linear=-0.22, angular=-0.46, left=0.00, right=-0.13
[INFO] [1775785965.647839394] [motor_controller]: cmd_vel -> linear=-0.05, angular=-0.41, left=0.07, right=-0.09
[INFO] [1775785965.752083370] [motor_controller]: cmd_vel -> linear=-0.03, angular=-0.47, left=0.09, right=-0.10
[INFO] [1775785965.949419191] [motor_controller]: cmd_vel -> linear=0.12, angular=-0.43, left=0.11, right=-0.06
[INFO] [1775785966.054748784] [motor_controller]: cmd_vel -> linear=0.04, angular=-0.45, left=0.10, right=-0.08
[INFO] [1775785966.250183761] [motor_controller]: cmd_vel -> linear=0.04, angular=-0.46, left=0.10, right=-0.08
[INFO] [1775785966.356705694] [motor_controller]: cmd_vel -> linear=0.19, angular=-0.42, left=0.12, right=0.00
[INFO] [1775785966.553127380] [motor_controller]: cmd_vel -> linear=0.25, angular=-0.37, left=0.12, right=0.00
[INFO] [1775785966.658290361] [motor_controller]: cmd_vel -> linear=0.52, angular=-0.35, left=0.17, right=0.00
[INFO] [1775785966.853717819] [motor_controller]: cmd_vel -> linear=0.74, angular=-0.30, left=0.21, right=0.09
[INFO] [1775785966.959418118] [motor_controller]: cmd_vel -> linear=1.01, angular=-0.29, left=0.26, right=0.15
[INFO] [1775785967.157060459] [motor_controller]: cmd_vel -> linear=1.06, angular=-0.27, left=0.27, right=0.16
[INFO] [1775785967.252959798] [motor_controller]: cmd_vel -> linear=1.08, angular=-0.24, left=0.26, right=0.17
[INFO] [1775785967.448522035] [motor_controller]: cmd_vel -> linear=1.21, angular=-0.16, left=0.27, right=0.21
