[INFO] [1775796485.356963883] [CLaserOdometry2DNode]: Initializing RF2O node...
[WARN] [1775796485.383280250] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796485.483173130] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796485.583187344] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796485.683165761] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796485.783175661] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796485.883166652] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796485.983143644] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796486.083164043] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796486.183138961] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796486.283146841] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796486.383150130] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796486.483152825] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796486.583138687] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796486.683135346] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796486.783150263] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796486.883164496] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796486.983161099] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796487.083144590] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796487.183142323] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796487.283134815] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796487.383137214] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796487.483143706] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796487.583224364] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796487.683211689] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796487.783192848] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796487.883199321] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796487.983192368] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796488.083194193] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796488.183257445] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796488.283535105] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796488.383251725] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796488.483204179] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796488.583197893] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796488.683199570] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796488.783207191] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796488.883209443] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796488.983197768] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796489.083208111] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796489.183192640] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796489.283202798] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796489.383204068] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796489.483204245] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796489.583197866] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796489.683205840] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796489.783199998] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796489.883212249] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796489.983197741] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796490.083198658] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796490.183194558] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796490.283193938] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796490.383192634] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796490.483220552] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796490.583202247] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796490.683203183] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796490.783195397] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796490.883194833] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796490.983223381] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796491.083195872] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796491.183193272] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796491.283190837] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796491.383197403] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796491.483199395] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796491.583195387] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796491.683192971] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796491.783204574] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796491.883210640] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796491.983202613] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796492.083208235] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796492.183197430] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796492.283206051] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796492.383204839] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796492.483210628] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796492.583203360] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796492.683197796] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796492.783201418] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796492.883210854] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796492.983199068] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796493.083205523] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796493.183205477] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796493.283218562] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796493.383203702] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796493.483208860] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796493.583214278] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796493.683209214] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796493.783207632] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796493.883213012] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796493.983203689] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796494.083202644] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796494.183210284] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796494.283205442] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796494.383204564] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796494.483207518] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796494.583199936] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796494.683197372] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796494.783206586] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796494.883209226] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796494.983206014] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796495.083209765] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796495.183204720] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796495.283213249] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775796495.383211944] [CLaserOdometry2DNode]: Waiting for laser_scans....
