[INFO] [1775363402.980497492] [motor_controller]: Motor Controller Node started
[INFO] [1775363435.979306777] [motor_controller]: cmd_vel -> linear=0.35, angular=0.00, left=0.15, right=0.15
[INFO] [1775363477.793877381] [motor_controller]: cmd_vel -> linear=0.35, angular=0.00, left=0.15, right=0.15
[INFO] [1775363504.688670497] [motor_controller]: cmd_vel -> linear=0.00, angular=0.25, left=-0.11, right=0.11
[INFO] [1775363560.388391741] [motor_controller]: cmd_vel -> linear=0.35, angular=0.00, left=0.15, right=0.15
[INFO] [1775363562.997943196] [motor_controller]: cmd_vel -> linear=0.00, angular=0.25, left=-0.11, right=0.11
[INFO] [1775363565.569208342] [motor_controller]: cmd_vel -> linear=0.00, angular=-0.25, left=0.11, right=-0.11
[INFO] [1775363568.225190027] [motor_controller]: cmd_vel -> linear=-0.35, angular=0.00, left=-0.15, right=-0.15
[INFO] [1775363875.416884152] [motor_controller]: cmd_vel -> linear=0.00, angular=0.00, left=0.00, right=0.00
[INFO] [1775363875.418743060] [motor_controller]: cmd_vel -> linear=0.00, angular=0.00, left=0.00, right=0.00
