[INFO] [1783130834.501900945] [motor_controller_pid]: PID Motor Controller started — Kp=0.4, Ki=0.1, Kd=0.0, max_pwm=0.45, max_linear=0.3, cmd_vel_topic=cmd_vel
[WARN] [1783130834.977523004] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783130869.627303552] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783130927.777439185] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783130987.377397753] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783131132.727359267] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783131133.928123369] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783131293.627369208] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783131668.377684447] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783131673.627627466] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783131683.127609687] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783131688.777253847] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783131802.627327781] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783131803.477416941] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783131806.177430391] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1783131830.127358051] [motor_controller_pid]: Command timeout; stopping motors
