[INFO] [1775699167.055251268] [CLaserOdometry2DNode]: Initializing RF2O node...
[WARN] [1775699167.066642256] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699167.166665826] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699167.266653248] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699167.366651578] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699167.466663166] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699167.566636514] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699167.666624343] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699167.766592432] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699167.866587779] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699167.966566257] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699168.066633736] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699168.166586067] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699168.266621973] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699168.366587619] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699168.466581672] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699168.566564077] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699168.666576742] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699168.766566629] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699168.866579405] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699168.966575514] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699169.066573310] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699169.166569069] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699169.266639255] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699169.366622255] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699169.466650977] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699169.566636384] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699169.666642477] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699169.766654477] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699169.866642644] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699169.966638459] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699170.066652923] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699170.166646832] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699170.266638871] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699170.366623725] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699170.466636375] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699170.566651155] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699170.666643916] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699170.766636418] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699170.866622605] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699170.966631126] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699171.066633870] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699171.166625726] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699171.266639508] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699171.366632456] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699171.466628905] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699171.566644149] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699171.666632024] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699171.766622861] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699171.866626309] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699171.966661369] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699172.066634985] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699172.166640214] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699172.266642868] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699172.366623281] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699172.466654565] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699172.566637960] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699172.666628929] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699172.766647935] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699172.866640589] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699172.966633743] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699173.066652083] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699173.166637147] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699173.266627636] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699173.366633903] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699173.466663838] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699173.566655271] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699173.666644890] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699173.766634509] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699173.866622776] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699173.966632284] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699174.066631923] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699174.166627600] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699174.266648665] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699174.366646953] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699174.466642519] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699174.566635417] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699174.666633927] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699174.766638882] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699174.866630410] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699174.966636920] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699175.066639690] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699175.166635332] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699175.266633455] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699175.366631856] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699175.466647960] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699175.566635694] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699175.666632780] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699175.766661570] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699175.866640526] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699175.966636297] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699176.066652440] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699176.166647769] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699176.266638134] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699176.366639334] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699176.466642014] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699176.566649621] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699176.666635690] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699176.766638759] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699176.866625551] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699176.966638324] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699177.066658969] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699177.166646225] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699177.266667371] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699177.366650720] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699177.466635050] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699177.566637566] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699177.666629526] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699177.766636820] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699177.866636632] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699177.966638129] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699178.066630795] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699178.166634775] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699178.266628386] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699178.366638515] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699178.466657736] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699178.566645661] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699178.666644698] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699178.766656641] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699178.866640659] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699178.966638658] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699179.066656733] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699179.166643975] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699179.266641569] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699179.366642496] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699179.466654590] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699179.566668702] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699179.666644481] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699179.766640371] [CLaserOdometry2DNode]: Waiting for laser_scans....
[WARN] [1775699179.866632724] [CLaserOdometry2DNode]: Waiting for laser_scans....
