[INFO] [1775787934.286169044] [motor_controller]: Motor Controller Node started
[INFO] [1775787964.263495339] [motor_controller]: cmd_vel -> linear=0.25, angular=0.15, left=0.10, right=0.10
[INFO] [1775787964.371142213] [motor_controller]: cmd_vel -> linear=0.68, angular=0.24, left=0.10, right=0.19
[INFO] [1775787964.566088409] [motor_controller]: cmd_vel -> linear=0.79, angular=0.26, left=0.11, right=0.21
[INFO] [1775787964.665630555] [motor_controller]: cmd_vel -> linear=1.00, angular=0.27, left=0.15, right=0.25
[INFO] [1775787964.866388504] [motor_controller]: cmd_vel -> linear=1.05, angular=0.28, left=0.15, right=0.26
[INFO] [1775787964.968582313] [motor_controller]: cmd_vel -> linear=1.07, angular=0.27, left=0.16, right=0.27
[INFO] [1775787965.169757209] [motor_controller]: cmd_vel -> linear=1.03, angular=0.27, left=0.15, right=0.26
[INFO] [1775787965.266992676] [motor_controller]: cmd_vel -> linear=1.08, angular=0.28, left=0.16, right=0.27
[INFO] [1775787965.471484608] [motor_controller]: cmd_vel -> linear=1.14, angular=0.28, left=0.17, right=0.28
[INFO] [1775787965.575701686] [motor_controller]: cmd_vel -> linear=1.27, angular=0.26, left=0.20, right=0.31
[INFO] [1775787965.763056638] [motor_controller]: cmd_vel -> linear=1.32, angular=0.24, left=0.22, right=0.31
[INFO] [1775787965.868711909] [motor_controller]: cmd_vel -> linear=1.40, angular=0.19, left=0.24, right=0.32
[INFO] [1775787966.065158631] [motor_controller]: cmd_vel -> linear=1.42, angular=0.17, left=0.25, right=0.32
[INFO] [1775787966.167844313] [motor_controller]: cmd_vel -> linear=1.50, angular=0.13, left=0.27, right=0.33
[INFO] [1775787966.368816430] [motor_controller]: cmd_vel -> linear=1.60, angular=0.10, left=0.30, right=0.34
[INFO] [1775787966.464293850] [motor_controller]: cmd_vel -> linear=1.65, angular=0.01, left=0.33, right=0.33
[INFO] [1775787966.664103646] [motor_controller]: cmd_vel -> linear=1.65, angular=-0.03, left=0.34, right=0.32
[INFO] [1775787966.764118610] [motor_controller]: cmd_vel -> linear=1.43, angular=-0.10, left=0.31, right=0.27
[INFO] [1775787966.974039108] [motor_controller]: cmd_vel -> linear=1.40, angular=-0.12, left=0.31, right=0.26
[INFO] [1775787967.070161606] [motor_controller]: cmd_vel -> linear=1.37, angular=-0.18, left=0.31, right=0.24
[INFO] [1775787967.269583067] [motor_controller]: cmd_vel -> linear=1.38, angular=-0.22, left=0.32, right=0.23
[INFO] [1775787967.364656467] [motor_controller]: cmd_vel -> linear=0.63, angular=-0.47, left=0.22, right=0.10
[INFO] [1775787967.569811273] [motor_controller]: cmd_vel -> linear=0.63, angular=-0.47, left=0.22, right=0.10
[INFO] [1775787967.666225828] [motor_controller]: cmd_vel -> linear=0.42, angular=-0.53, left=0.19, right=-0.10
[INFO] [1775787967.871269633] [motor_controller]: cmd_vel -> linear=0.42, angular=-0.53, left=0.19, right=-0.10
[INFO] [1775787967.964621098] [motor_controller]: cmd_vel -> linear=0.44, angular=-0.58, left=0.20, right=-0.10
[INFO] [1775787968.166182644] [motor_controller]: cmd_vel -> linear=0.36, angular=-0.62, left=0.20, right=-0.10
[INFO] [1775787968.265573623] [motor_controller]: cmd_vel -> linear=0.26, angular=-0.59, left=0.17, right=-0.10
[INFO] [1775787968.471104653] [motor_controller]: cmd_vel -> linear=0.56, angular=-0.53, left=0.22, right=0.00
[INFO] [1775787968.568207212] [motor_controller]: cmd_vel -> linear=0.62, angular=-0.61, left=0.25, right=0.00
[INFO] [1775787968.764079431] [motor_controller]: cmd_vel -> linear=0.56, angular=-0.67, left=0.25, right=-0.10
[INFO] [1775787968.862652572] [motor_controller]: cmd_vel -> linear=0.29, angular=-0.23, left=0.11, right=0.00
[INFO] [1775787969.068332455] [motor_controller]: cmd_vel -> linear=0.29, angular=-0.23, left=0.11, right=0.00
[INFO] [1775787969.163413725] [motor_controller]: cmd_vel -> linear=-0.08, angular=-0.46, left=0.10, right=-0.11
[INFO] [1775787969.370450764] [motor_controller]: cmd_vel -> linear=-0.08, angular=-0.46, left=0.10, right=-0.11
[INFO] [1775787969.474996344] [motor_controller]: cmd_vel -> linear=-0.11, angular=-0.63, left=0.10, right=-0.15
[INFO] [1775787969.663711988] [motor_controller]: cmd_vel -> linear=0.13, angular=-0.64, left=0.15, right=-0.10
[INFO] [1775787969.761613180] [motor_controller]: cmd_vel -> linear=0.02, angular=-0.67, left=0.14, right=-0.13
[INFO] [1775787969.967262582] [motor_controller]: cmd_vel -> linear=0.02, angular=-0.67, left=0.14, right=-0.13
[INFO] [1775787970.071413660] [motor_controller]: cmd_vel -> linear=0.18, angular=-0.63, left=0.16, right=-0.10
[INFO] [1775787970.268454015] [motor_controller]: cmd_vel -> linear=0.21, angular=-0.62, left=0.17, right=-0.10
[INFO] [1775787970.365376499] [motor_controller]: cmd_vel -> linear=-0.13, angular=-0.60, left=0.10, right=-0.14
[INFO] [1775787970.563603564] [motor_controller]: cmd_vel -> linear=-0.37, angular=-0.61, left=0.10, right=-0.20
[INFO] [1775787970.669758542] [motor_controller]: cmd_vel -> linear=-0.39, angular=-0.64, left=0.10, right=-0.21
[INFO] [1775787970.866964491] [motor_controller]: cmd_vel -> linear=-0.55, angular=-0.65, left=0.10, right=-0.24
[INFO] [1775787970.970936253] [motor_controller]: cmd_vel -> linear=-0.49, angular=-0.62, left=0.10, right=-0.22
[INFO] [1775787971.168147535] [motor_controller]: cmd_vel -> linear=-0.59, angular=-0.63, left=0.00, right=-0.24
[INFO] [1775787971.263846031] [motor_controller]: cmd_vel -> linear=-0.48, angular=-0.66, left=0.10, right=-0.23
[INFO] [1775787971.468029684] [motor_controller]: cmd_vel -> linear=-0.48, angular=-0.66, left=0.10, right=-0.23
[INFO] [1775787971.562892416] [motor_controller]: cmd_vel -> linear=-0.46, angular=-0.64, left=0.10, right=-0.22
[INFO] [1775787971.769584749] [motor_controller]: cmd_vel -> linear=-0.46, angular=-0.64, left=0.10, right=-0.22
[INFO] [1775787971.968549633] [motor_controller]: cmd_vel -> linear=-0.56, angular=-0.66, left=0.00, right=-0.24
[INFO] [1775787972.065427190] [motor_controller]: cmd_vel -> linear=-0.51, angular=-0.70, left=0.10, right=-0.24
[INFO] [1775787972.265814452] [motor_controller]: cmd_vel -> linear=-0.45, angular=-0.69, left=0.10, right=-0.23
[INFO] [1775787972.371185796] [motor_controller]: cmd_vel -> linear=-0.52, angular=-0.70, left=0.10, right=-0.24
[INFO] [1775787972.567814686] [motor_controller]: cmd_vel -> linear=-0.52, angular=-0.70, left=0.10, right=-0.24
[INFO] [1775787972.665497748] [motor_controller]: cmd_vel -> linear=-0.36, angular=-0.68, left=0.10, right=-0.21
[INFO] [1775787972.864192094] [motor_controller]: cmd_vel -> linear=-0.34, angular=-0.67, left=0.10, right=-0.20
[INFO] [1775787972.968732933] [motor_controller]: cmd_vel -> linear=-0.42, angular=-0.66, left=0.10, right=-0.22
[INFO] [1775787973.167447964] [motor_controller]: cmd_vel -> linear=-0.40, angular=-0.69, left=0.10, right=-0.22
[INFO] [1775787973.267912597] [motor_controller]: cmd_vel -> linear=-0.39, angular=-0.69, left=0.10, right=-0.22
[INFO] [1775787973.463666315] [motor_controller]: cmd_vel -> linear=-0.50, angular=-0.69, left=0.10, right=-0.24
[INFO] [1775787973.567927283] [motor_controller]: cmd_vel -> linear=-0.59, angular=-0.65, left=0.00, right=-0.25
[INFO] [1775787973.765911069] [motor_controller]: cmd_vel -> linear=-0.68, angular=-0.65, left=0.00, right=-0.27
[INFO] [1775787973.861010858] [motor_controller]: cmd_vel -> linear=-0.65, angular=-0.67, left=0.00, right=-0.26
[INFO] [1775787974.068478176] [motor_controller]: cmd_vel -> linear=-0.65, angular=-0.67, left=0.00, right=-0.26
[INFO] [1775787974.165895570] [motor_controller]: cmd_vel -> linear=-0.84, angular=-0.63, left=-0.10, right=-0.29
