[INFO] [1786131167.540430266] [motor_controller_pid]: PID Motor Controller started — Kp=0.4, Ki=0.1, Kd=0.0, max_pwm=0.95, max_linear=0.3, cmd_vel_topic=cmd_vel
[WARN] [1786131168.016966257] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1786131351.167004365] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1786131533.417013048] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1786131966.967260282] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1786132265.268414582] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1786132308.467186506] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1786133360.167157362] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1786133507.568234202] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1786133585.767259483] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1786133670.367145328] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1786133926.817007223] [motor_controller_pid]: Command timeout; stopping motors
[WARN] [1786134230.770234261] [motor_controller_pid]: Command timeout; stopping motors
