[WARN] [1775614296.073509172] [rcl.logging_rosout]: Publisher already registered for node name: 'rf2o_laser_odometry_node'. If this is due to multiple nodes with the same name then all logs for the logger named 'rf2o_laser_odometry_node' will go out over the existing publisher. As soon as any node with that name is destructed it will unregister the publisher, preventing any further logs for that name from being published on the rosout topic.
[INFO] [1775614296.116591352] [rf2o_laser_odometry_node]: Initializing RF2O node...
[WARN] [1775614296.209659618] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1775614296.309692899] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1775614296.409485100] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1775614296.509430368] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1775614296.611679598] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1775614296.709398010] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1775614296.809356295] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1775614296.909323006] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1775614297.009357232] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1775614297.109329553] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1775614297.209332392] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1775614297.309309880] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1775614297.409296275] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1775614297.509293077] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1775614297.609327636] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1775614297.709309068] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1775614297.809310055] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1775614297.909295727] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1775614298.009324565] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1775614298.109301941] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1775614298.209326168] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1775614298.309299082] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1775614298.409282162] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1775614298.509276649] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1775614298.609295746] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1775614298.709325268] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1775614298.809357586] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1775614298.909318482] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1775614299.009370578] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1775614299.109308253] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1775614299.209305239] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1775614299.309300930] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1775614299.409314471] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1775614299.509320624] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1775614299.609373979] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1775614299.709331467] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1775614299.809309455] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1775614299.909300497] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1775614300.009326853] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1775614300.109321525] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1775614300.209320234] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1775614300.309358014] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1775614300.409591971] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1775614300.509323489] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1775614300.609297699] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1775614300.709282742] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1775614300.809293357] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1775614300.909286103] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1775614301.009283608] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1775614301.109282095] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1775614301.209282377] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1775614301.309281345] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1775614301.409273202] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1775614301.509283466] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1775614301.609280600] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1775614301.709297456] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1775614301.809297905] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1775614301.909280856] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1775614302.009289138] [rf2o_laser_odometry_node]: Waiting for laser_scans....
